epoch,split,bin,mae_s,rmse_s,acc_at_tau_pct,tau_s,n
72,val,1,171.92336344784735,221.0050362395027,22.866835326586937,60.0,34784
72,val,2,196.4742698324131,241.46255311343324,31.50311648448022,120.0,31927
73,val,0,93.96617121817684,142.0912026138326,30.603383288604768,30.0,33163
73,val,1,175.22590144489922,224.75189707632293,22.55347286108556,60.0,34784
73,val,2,194.11200555080976,238.760320191305,31.531305791336482,120.0,31927
74,val,0,95.58839891204406,140.1119003149363,28.607182703615475,30.0,33163
74,val,1,174.6468455745413,221.48447753906254,20.397309107635696,60.0,34784
74,val,2,188.91856628928394,239.6445081540411,36.68681680082689,120.0,31927
75,val,0,103.07759842247007,149.89481540333315,27.693513855803154,30.0,33163
75,val,1,175.82373883511457,222.14269482718007,20.81704231830727,60.0,34784
75,val,2,204.55123121294037,248.02123896600386,28.405424875497225,120.0,31927
76,val,0,92.98340496745007,141.6633126436225,28.993155022163254,30.0,33163
76,val,1,162.79828704160184,211.06361722656175,23.691927322907084,60.0,34784
76,val,2,171.74946742825918,218.46165852689055,39.07664359319698,120.0,31927
77,val,0,119.3926114041875,165.82828603747052,22.47987214666948,30.0,33163
77,val,1,199.19901416711886,249.319909406911,18.14339926402944,60.0,34784
77,val,2,216.898118038012,263.1518525203412,28.634071475553608,120.0,31927
78,val,0,103.37080063843035,152.7602341906884,27.14169405662938,30.0,33163
78,val,1,172.33796304458858,224.62161989291724,22.30335786568537,60.0,34784
78,val,2,180.908533644317,226.8379632416045,35.25542644156983,120.0,31927
79,val,0,117.74543464466706,167.24372482063717,23.242770557549076,30.0,33163
79,val,1,181.915553909765,232.1574711689166,19.770584176632937,60.0,34784
79,val,2,178.75930722759637,224.86565780527678,36.595984589845585,120.0,31927
80,val,0,115.0412976864512,160.5965789609916,23.426710490607004,30.0,33163
80,val,1,195.45911412383836,244.6609796615538,18.042778288868444,60.0,34784
80,val,2,209.51692536789247,251.6243360491071,26.77044507783381,120.0,31927
81,val,0,117.33049273633972,161.71310247100863,20.908844193830472,30.0,33163
81,val,1,183.21611417403656,229.27255579224817,19.422723091076357,60.0,34784
81,val,2,190.3650558595463,236.01099255961608,33.72380743571272,120.0,31927
82,val,0,105.14391321635982,151.72155617725755,25.148508880378735,30.0,33163
82,val,1,168.52395350536077,215.73520604411655,22.19986200551978,60.0,34784
82,val,2,158.26221678096957,209.3244910289181,45.91724872365083,120.0,31927
83,val,0,106.31769712984327,147.86606564656628,24.569550402557066,30.0,33163
83,val,1,171.07224001353666,214.42575753706151,20.2851885924563,60.0,34784
83,val,2,173.13086748064921,221.70451284984333,39.51514392207223,120.0,31927
84,val,0,107.84351909595925,161.0329719926957,26.261194704942252,30.0,33163
84,val,1,173.31466941517652,227.78309283958535,21.97849586016559,60.0,34784
84,val,2,174.1065586080649,220.9312067929818,38.88558273561563,120.0,31927
85,val,0,100.09114074753043,146.03300925634758,27.51560474022254,30.0,33163
85,val,1,191.90650107516208,244.76860319803436,18.600505979760808,60.0,34784
85,val,2,221.76240772253647,264.9093596889622,25.833933661164533,120.0,31927
86,val,0,106.01032185969326,148.1579972855147,25.154539697856045,30.0,33163
86,val,1,179.26447402827765,225.94136072285428,20.187442502299906,60.0,34784
86,val,2,193.94394490874691,240.67826157042668,33.53587872333762,120.0,31927
87,val,0,99.66697697058139,148.57244060669237,28.034255043271116,30.0,33163
87,val,1,181.47249644682182,232.2999183210127,20.385809567617294,60.0,34784
87,val,2,196.46463374486376,242.15616443092426,32.0762990572243,120.0,31927
88,val,0,101.46609786482558,144.49181103719351,27.232156318789013,30.0,33163
88,val,1,194.92254407754598,252.3569192838334,19.598091076356948,60.0,34784
88,val,2,223.1299606114388,271.49910798968114,26.923920192940145,120.0,31927
89,val,0,106.99077193639184,149.94198269701627,25.54654283388113,30.0,33163
89,val,1,172.88360964890018,222.2109622504358,22.21136154553818,60.0,34784
89,val,2,191.61014570195044,237.46362774412765,33.57033232060638,120.0,31927
90,val,0,98.05723642957112,138.93439147837816,26.62907457105811,30.0,33163
90,val,1,170.63059909824065,217.139186336848,21.159153633854647,60.0,34784
